Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
001000,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0021 - City of Westfield requires Mechanical Screens around all 4 RTU's. _x000A__x000A_Remaining contingency used to cover some of this cost.,0143,8/28/2025,8/28/2025,CRAVING CREPES LLC,0.00,0.00,8/28/2025
001413,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0026 - Interior Design Change Order 2/3_x000A_Breeze Blocks_x000A_Railings and hightops_x000A_Doors_x000A_Storefront Glass_x000A_Framing/Drywall_x000A_Interior Painting,0212,10/9/2025,10/9/2025,CRAVING CREPES LLC,"235,365.06","24,038.43",10/29/2025
001408,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0026 - Interior Design Change Order 2/3_x000A_Breeze Blocks_x000A_Railings and hightops_x000A_Doors_x000A_Storefront Glass_x000A_Framing/Drywall_x000A_Interior Painting,0208,10/9/2025,10/9/2025,CRAVING CREPES LLC,"235,365.06","24,038.43",10/29/2025
001414,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0027 - Interior Design Change Order 3/3_x000A_Casework/Millwork_x000A_Granite Countertops,0213,10/9/2025,10/9/2025,CRAVING CREPES LLC,"230,911.15","23,583.52",10/29/2025
001409,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0027 - Interior Design Change Order 3/3_x000A_Casework/Millwork_x000A_Granite Countertops,0209,10/9/2025,10/9/2025,CRAVING CREPES LLC,"230,911.15","23,583.52",10/29/2025
001770,On Hold,DEFAULT,CRAVING,24-115,"PCCO-2403-0031 - Cost for labor, minor prep, and adhesives to install LVT flooring in Private Rm 214. Owner to provide LVT flooring. _x000A_Cost for labor and setting materials to install added tile backer, and tile to beer wall, and under main level unisex sink",0376,11/18/2025,11/18/2025,CRAVING CREPES LLC,"22,748.35","2,323.35",2/26/2026
001624,On Hold,DEFAULT,CRAVING,24-115,"PCCO-2403-0032 - Cost to frame new opening at the north wall commissary _x000A_Cost to purchase added exit door, frame, and hardware_x000A_Cost for labor to install new door, frame, and hardware",0280,11/18/2025,11/18/2025,CRAVING CREPES LLC,"3,789.45",387.03,1/7/2026
001684,On Hold,DEFAULT,CRAVING,24-115,"PCCO-2403-0034 - Cost for labor to install new 30"" door, frame, and hardware (dead bolt only) at the back of the beer wall_x000A_Cost for labor to frame new opening for added 30"" beer wall door_x000A_Cost to purchase new 30"" door, frame, and hardware_x000A_Cost to form, pou",0314,11/21/2025,11/21/2025,CRAVING CREPES LLC,"6,507.74",664.64,1/26/2026
001598,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0039 - Cost to install added 30 tap beer wall on second floor_x000A_Pour My Beer to furnish and install self-pouring beer tap system,0277,12/9/2025,12/9/2025,CRAVING CREPES LLC,"25,093.85","2,562.91",12/30/2025
001757,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0047 - 4 added receptacles in ice cream shop_x000A_All four on dedicated circuits _x000A_Install on face of walls with metal conduit and boxes,0365,2/17/2026,2/17/2026,CRAVING CREPES LLC,"7,389.56",754.72,2/23/2026
001774,On Hold,DEFAULT,CRAVING,24-115,"PCCO-2403-0050 - Install end caps at all four C-04 booths to prevent items from falling through mezz rail_x000A_Fabricate and install 3"" tall & 6"" deep caps to fit flush with existing booth back wall_x000A_Material: Same vencenza oak used on all other casework",0378,2/17/2026,2/17/2026,CRAVING CREPES LLC,"2,450.25",250.25,3/2/2026
001775,On Hold,DEFAULT,CRAVING,24-115,"PCCO-2403-0051 - Price includes _x000A_- Metal Stud Framing (80"" x 30"")_x000A_- Installing tile backer board_x000A_- Installing two toned black and white tile_x000A_- Counter top that wraps around all four sides of the stud wall with 2' 1/2"" of over hang_x000A_- Four casework cabinets,",0379,2/17/2026,2/17/2026,CRAVING CREPES LLC,"15,120.00",0.00,3/2/2026
001758,On Hold,DEFAULT,CRAVING,24-115,"PCCO-2403-0052 - Cost to install WC IPA on both faces on bourbon bar bulkhead, above green tile on East wall, and above/below countertop on North wall_x000A_Install over already installed SSB",0366,2/23/2026,2/23/2026,CRAVING CREPES LLC,"1,063.63",108.63,2/23/2026
